Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_037997125.1	Bacillus atrophaeus	Complete Genome	current	4213034	1	SAMN38507101	Tibet Plateau soil	China:Tibet		non_saline_candidate		Bacillus atrophaeus
GCF_039519175.1	Bacillus atrophaeus	Complete Genome	current	4292910	2	SAMN41078598	Wheat root	China: Henan		non_saline_candidate		Bacillus atrophaeus
GCF_045276185.1	Bacillus atrophaeus	Complete Genome	current	4267134	3	SAMN43222669	Flowering plant	China: Shihezi	cotton	non_saline_candidate		Bacillus atrophaeus
GCF_045278795.1	Bacillus atrophaeus subsp. globigii	Complete Genome	current	4083597	1	SAMN36965794	rhizosphere	China		non_saline_candidate		Bacillus atrophaeus
GCF_050574115.1	Bacillus atrophaeus	Complete Genome	current	4155134	1	SAMN48580704	rhizosphere soil	China:Fujian	Pseudostellaria heterophylla	non_saline_candidate		Bacillus atrophaeus
GCF_051425545.1	Bacillus atrophaeus	Complete Genome	current	4302183	2	SAMN49699283	chernozem soils	Russia: SFedU Botanical Garden		non_saline_candidate		Bacillus atrophaeus
GCF_052665205.1	Bacillus atrophaeus	Scaffold	current	4170353	13	SAMN47595437	Salicornia europaea	China: Yancheng, Jiangsu province	Plants	non_saline_candidate		Bacillus atrophaeus
GCF_001637525.1	Bacillus halotolerans	Scaffold	current	4090772	5	SAMN04544317	soil	Germany		non_saline_candidate		Bacillus halotolerans
GCF_001642595.1	Bacillus licheniformis	Scaffold	current	4154962	28	SAMN04395482	soil	Czech Republic:Nerartovice		non_saline_candidate		Bacillus licheniformis
GCF_001969855.1	Bacillus haynesii	Scaffold	current	4378519	77	SAMN06102002	soil	Israel: Evolution canyon, arroyo at canyon bottom		non_saline_candidate		Bacillus haynesii
GCF_002998215.1	Bacillus halotolerans	Scaffold	current	4081660	35	SAMN08634194	soil	China: Tibet		non_saline_candidate		Bacillus halotolerans
GCF_002998275.1	Bacillus halotolerans	Scaffold	current	4170205	26	SAMN08634207	soil	China: Tibet		non_saline_candidate		Bacillus halotolerans
GCF_016093395.1	Bacillus halotolerans	Chromosome	current	4087194	2	SAMN17013070	Geothermal soil	USA: Wyoming	Pisolithus arhizus	non_saline_candidate		Bacillus halotolerans
GCF_016767285.1	Bacillus halotolerans	Scaffold	current	4054787	11	SAMN16949413	roots, endophytic	Greece: Agricultural University of Athens	Nigella sativa	non_saline_candidate		Bacillus halotolerans
GCF_019598985.1	Bacillus inaquosorum	Chromosome	current	4136264	1	SAMN20567150	Rhizospheric soil from Cenchrus ciliaris	Pakistan: Cholistan desert, Bahawalpur	Cenchrus ciliaris	non_saline_candidate		Bacillus inaquosorum
GCF_024266605.1	Bacillus halotolerans	Complete Genome	current	4095140	1	SAMN29515135	soil	China:Beijing		non_saline_candidate		Bacillus halotolerans
GCF_024266645.1	Bacillus halotolerans	Complete Genome	current	4280526	1	SAMN29515286	American ginseng Root	China:Shandong		non_saline_candidate		Bacillus halotolerans
GCF_024510645.1	Bacillus halotolerans	Complete Genome	current	4141155	1	SAMN29930872	soil	China:Shandong		non_saline_candidate		Bacillus halotolerans
GCF_026013885.1	Bacillus halotolerans	Complete Genome	current	4175808	1	SAMN31494998		China: Baoding	plant	non_saline_candidate		Bacillus halotolerans
GCF_026793205.1	Bacillus inaquosorum	Scaffold	current	4175854	35	SAMN25999702	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793275.1	Bacillus inaquosorum	Scaffold	current	4149635	48	SAMN25999701	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793285.1	Bacillus inaquosorum	Scaffold	current	4340953	56	SAMN25999700	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793495.1	Bacillus inaquosorum	Scaffold	current	4215618	29	SAMN25999687	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793525.1	Bacillus inaquosorum	Scaffold	current	4209366	22	SAMN25999688	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793575.1	Bacillus inaquosorum	Scaffold	current	4161260	35	SAMN25999686	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793595.1	Bacillus inaquosorum	Scaffold	current	4181036	24	SAMN25999682	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793655.1	Bacillus inaquosorum	Scaffold	current	4148467	14	SAMN25999683	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026793695.1	Bacillus inaquosorum	Scaffold	current	4178786	26	SAMN25999680	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_026794505.1	Bacillus halotolerans	Scaffold	current	4015135	82	SAMN25999655	soil	not collected		non_saline_candidate		Bacillus halotolerans
GCF_026967595.1	Bacillus halotolerans	Complete Genome	current	4404030	2	SAMN32106085	Sweet potato rhizosphere soil	China:Shandong		non_saline_candidate		Bacillus halotolerans
GCF_030123205.1	Bacillus halotolerans	Complete Genome	current	4252134	1	SAMN34374967	rhizosphere soil	China: Longnan, Gansu Province		non_saline_candidate		Bacillus halotolerans
GCF_030128945.2	Bacillus inaquosorum	Complete Genome	current	4200707	1	SAMN35027563	soil	Mexico: Reynosa		non_saline_candidate		Bacillus inaquosorum
GCF_030167075.1	Bacillus halotolerans	Complete Genome	current	4091749	1	SAMN34374898	semidesertic area with dry sandy soils, around 15 cm from the trunk of a peach tree (5 cm deep)	Mexico: Tehuacan, Puebla		non_saline_candidate		Bacillus halotolerans
GCF_030292055.1	Bacillus halotolerans	Complete Genome	current	4223135	2	SAMN34374963	rhizosphere soil	China: Kaifeng, Henan Province		non_saline_candidate		Bacillus halotolerans
GCF_032763365.1	Bacillus halotolerans	Complete Genome	current	4155130	1	SAMN37729246	endophyte from hree year continuous cropping of potato root	China: Inner Mongolia	potato	non_saline_candidate		Bacillus halotolerans
GCF_033568485.1	Bacillus halotolerans	Complete Genome	current	4208811	1	SAMN36977584	soil	China: Inner Mongolia		non_saline_candidate		Bacillus halotolerans
GCF_035804155.1	Bacillus halotolerans	Scaffold	current	4154375	41	SAMN32927361	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus halotolerans
GCF_035804175.1	Bacillus halotolerans	Scaffold	current	4007909	24	SAMN32927356	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus halotolerans
GCF_035809715.1	Bacillus haynesii	Scaffold	current	4373622	30	SAMN33940568	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809735.1	Bacillus haynesii	Scaffold	current	4367096	52	SAMN33940567	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809775.1	Bacillus haynesii	Scaffold	current	4505041	48	SAMN33940565	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809795.1	Bacillus haynesii	Scaffold	current	4343280	38	SAMN33940563	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809835.1	Bacillus haynesii	Scaffold	current	4429214	39	SAMN33940562	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809855.1	Bacillus haynesii	Scaffold	current	4270503	27	SAMN33940561	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809875.1	Bacillus haynesii	Scaffold	current	4205925	25	SAMN33940560	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809895.1	Bacillus haynesii	Scaffold	current	4251728	23	SAMN33940559	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809915.1	Bacillus haynesii	Scaffold	current	4329818	21	SAMN33940558	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809935.1	Bacillus haynesii	Scaffold	current	4205414	22	SAMN33940557	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809955.1	Bacillus haynesii	Scaffold	current	4367995	33	SAMN33940555	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035809975.1	Bacillus haynesii	Scaffold	current	4342338	21	SAMN33940556	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810015.1	Bacillus haynesii	Scaffold	current	4291832	27	SAMN33940554	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810455.1	Bacillus haynesii	Scaffold	current	4223925	22	SAMN33940530	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810475.1	Bacillus haynesii	Scaffold	current	4295028	28	SAMN33940531	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810495.1	Bacillus haynesii	Scaffold	current	4333688	54	SAMN33940529	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810535.1	Bacillus haynesii	Scaffold	current	4253588	28	SAMN33940528	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810555.1	Bacillus haynesii	Scaffold	current	4504050	23	SAMN33940527	soil	USA		non_saline_candidate		Bacillus haynesii
GCF_035810695.1	Bacillus halotolerans	Scaffold	current	4263762	45	SAMN33940518	soil	USA		non_saline_candidate		Bacillus halotolerans
GCF_035810705.1	Bacillus halotolerans	Scaffold	current	4079517	28	SAMN33940519	soil	USA		non_saline_candidate		Bacillus halotolerans
GCF_035810855.1	Bacillus halotolerans	Scaffold	current	3988357	38	SAMN33940511	soil	Tunisia		non_saline_candidate		Bacillus halotolerans
GCF_035811155.1	Bacillus halotolerans	Scaffold	current	4244191	45	SAMN33940496	soil	USA		non_saline_candidate		Bacillus halotolerans
GCF_035822595.1	Bacillus halotolerans	Scaffold	current	4216228	31	SAMN33940736	soil	India		non_saline_candidate		Bacillus halotolerans
GCF_035823075.1	Bacillus inaquosorum	Scaffold	current	4196007	35	SAMN33940724	soil	USA		non_saline_candidate		Bacillus inaquosorum
GCF_036210455.1	Bacillus inaquosorum	Scaffold	current	4172692	23	SAMN32927353	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus inaquosorum
GCF_040256795.1	Bacillus halotolerans	Chromosome	current	4214739	28	SAMN41599398	rhizosphere	Morocco	Olea europaea	non_saline_candidate		Bacillus halotolerans
GCF_041222785.1	Bacillus halotolerans	Complete Genome	current	4220890	1	SAMN43028438	rhizosphere soil	China: Weinan town, Shaanxi Province		non_saline_candidate		Bacillus halotolerans
GCF_047302545.1	Bacillus inaquosorum	Complete Genome	current	4245627	1	SAMN44627544	root	USA:Tucson	Lactuca serriola	non_saline_candidate		Bacillus inaquosorum
GCF_050465465.1	Bacillus haynesii	Scaffold	current	4237536	24	SAMN41009149	soil	USA: Death Valley, California		non_saline_candidate		Bacillus haynesii
GCF_050465925.1	Bacillus inaquosorum	Scaffold	current	4184892	31	SAMN41009136	soil	Not Collected		non_saline_candidate		Bacillus inaquosorum
GCF_051788185.1	Bacillus halotolerans	Complete Genome	current	4194164	1	SAMN50046656	soil	China:Xinjiang		non_saline_candidate		Bacillus halotolerans
GCF_056393665.1	Bacillus halotolerans	Complete Genome	current	4092381	19	SAMN53136408	Changbai Mountain, forest humus soil	China:Jilin		non_saline_candidate		Bacillus halotolerans
GCF_056493705.1	Bacillus halotolerans	Complete Genome	current	4250820	1	SAMN56707214	soil	China: Xihe	environment	non_saline_candidate		Bacillus halotolerans
GCF_056519215.1	Bacillus halotolerans	Complete Genome	current	4072052	1	SAMN56607861	rhizosphere	Russia: Tatarstan, Vysokogorsky region		non_saline_candidate		Bacillus halotolerans
GCF_056833915.1	Bacillus halotolerans	Complete Genome	current	4223498	1	SAMN47806620	soil	China: Shandong, Zibo	Rhizopus	non_saline_candidate		Bacillus halotolerans
GCF_007855455.1	Bacillus licheniformis	Complete Genome	current	4201713	1	SAMN12368592	soil	South Korea		non_saline_candidate		Bacillus licheniformis
GCF_028532465.1	Bacillus licheniformis	Complete Genome	current	4252022	1	SAMN31807140	purple soil of Beibei District	China: Chongqing		non_saline_candidate		Bacillus licheniformis
GCF_030284405.1	Bacillus licheniformis	Complete Genome	current	4238379	1	SAMN35669181	rhizosphere soil	China:Harbin		non_saline_candidate		Bacillus licheniformis
GCF_030520185.1	Bacillus licheniformis	Complete Genome	current	4296212	1	SAMN36471627	soil	Russia: republic of Tatarstan		non_saline_candidate		Bacillus licheniformis
GCF_035809655.1	Bacillus licheniformis	Scaffold	current	4171474	18	SAMN33940570	soil	USA		non_saline_candidate		Bacillus licheniformis
GCF_035809695.1	Bacillus licheniformis	Scaffold	current	4181685	20	SAMN33940569	soil	USA		non_saline_candidate		Bacillus licheniformis
GCF_035809755.1	Bacillus licheniformis	Scaffold	current	4076449	35	SAMN33940566	soil	USA		non_saline_candidate		Bacillus licheniformis
GCF_035809815.1	Bacillus licheniformis	Scaffold	current	4164332	17	SAMN33940564	soil	USA		non_saline_candidate		Bacillus licheniformis
GCF_035810415.1	Bacillus licheniformis	Scaffold	current	4076975	15	SAMN33940532	soil	USA		non_saline_candidate		Bacillus licheniformis
GCF_035822515.1	Bacillus licheniformis	Scaffold	current	4380044	75	SAMN33940739	soil	Canada		non_saline_candidate		Bacillus licheniformis
GCF_036210125.1	Bacillus licheniformis	Scaffold	current	4249726	43	SAMN32927371	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_036210145.1	Bacillus licheniformis	Scaffold	current	4284016	48	SAMN32927372	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_036210165.1	Bacillus licheniformis	Scaffold	current	4235440	40	SAMN32927369	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_036210185.1	Bacillus licheniformis	Scaffold	current	4336611	40	SAMN32927370	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_036210215.1	Bacillus licheniformis	Scaffold	current	4176370	27	SAMN32927366	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_036210315.1	Bacillus licheniformis	Scaffold	current	4301114	45	SAMN32927362	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_036212245.1	Bacillus licheniformis	Scaffold	current	4180214	25	SAMN32927262	soil	not collected		non_saline_candidate		Bacillus licheniformis
GCF_046619435.1	Bacillus licheniformis	Complete Genome	current	4332882	1	SAMN45893318	leaf and root of endophyte	United Arab Emirates: Al Ain	Citrullus colocynthis	non_saline_candidate		Bacillus licheniformis
GCF_046619505.1	Bacillus licheniformis	Complete Genome	current	4332882	1	SAMN45893311	root	United Arab Emirates: Al Ain	Citrullus colocynthis	non_saline_candidate		Bacillus licheniformis
GCF_049990405.1	Bacillus licheniformis	Complete Genome	current	4294578	1	SAMN48073764	root system of maize	China:Shandong		non_saline_candidate		Bacillus licheniformis
GCF_051810305.1	Bacillus licheniformis	Scaffold	current	4163385	40	SAMN50276522	plant root samples	China: Nanjing		non_saline_candidate		Bacillus licheniformis
GCF_054182705.1	Bacillus licheniformis	Scaffold	current	4180775	19	SAMN54131381	rhizosphere	India	potato	non_saline_candidate		Bacillus licheniformis
GCF_055181215.1	Bacillus licheniformis	Complete Genome	current	4388988	1	SAMN55039096	soil	USA: California		non_saline_candidate		Bacillus licheniformis
GCF_056504695.1	Bacillus licheniformis	Complete Genome	current	4357622	1	SAMN56653603	Alkaline soil	China: Wuhan		non_saline_candidate		Bacillus licheniformis
GCF_977007745.1	Bacillus licheniformis	Complete Genome	current	4438024	1	SAMEA120226970	Petroleum hydrocarbon-degrading enrichment culture obtained through microcosm enrichment of a PHC-polluted soil: FR_PLO_05_A_M1	France		non_saline_candidate		Bacillus licheniformis
GCF_002068155.1	Bacillus paralicheniformis	Complete Genome	current	4352468	1	SAMN06605939	rhizosphere	China: Shandong	peony	non_saline_candidate		Bacillus paralicheniformis
GCF_002849425.1	Bacillus paralicheniformis	Scaffold	current	4566040	60	SAMN06211261	Rice Root	India: IARI PUSA, New Delhi	Oryza sativa	non_saline_candidate		Bacillus paralicheniformis
GCF_003171815.2	Bacillus paralicheniformis	Complete Genome	current	4317835	1	SAMN09203095	rhizosphere	India		non_saline_candidate		Bacillus paralicheniformis
GCF_020042645.1	Bacillus paralicheniformis	Chromosome	current	4397844	1	SAMN13510061	soil	Pakistan: Karak		non_saline_candidate		Bacillus paralicheniformis
GCF_025161175.1	Bacillus paralicheniformis	Chromosome	current	5174262	2	SAMN30648323	soil	Nigeria: Abeokuta		non_saline_candidate		Bacillus paralicheniformis
GCF_029000405.1	Bacillus paralicheniformis	Complete Genome	current	4338611	1	SAMN33388128	purple soil of Beibei District	China: Chongqing	missing	non_saline_candidate		Bacillus paralicheniformis
GCF_029590455.1	Bacillus paralicheniformis	Complete Genome	current	4288118	1	SAMN33788273	soil	China:Shandong		non_saline_candidate		Bacillus paralicheniformis
GCF_035808135.1	Bacillus paralicheniformis	Scaffold	current	4489393	83	SAMN33940659	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808155.1	Bacillus paralicheniformis	Scaffold	current	4381490	69	SAMN33940660	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808175.1	Bacillus paralicheniformis	Scaffold	current	4378969	78	SAMN33940658	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808195.1	Bacillus paralicheniformis	Scaffold	current	4388266	118	SAMN33940657	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808215.1	Bacillus paralicheniformis	Scaffold	current	4380066	75	SAMN33940656	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808235.1	Bacillus paralicheniformis	Scaffold	current	4375184	58	SAMN33940655	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808255.1	Bacillus paralicheniformis	Scaffold	current	4377114	87	SAMN33940654	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808275.1	Bacillus paralicheniformis	Scaffold	current	4378905	77	SAMN33940653	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808295.1	Bacillus paralicheniformis	Scaffold	current	4381118	72	SAMN33940652	soil	USA		non_saline_candidate		Bacillus paralicheniformis
GCF_035808315.1	Bacillus paralicheniformis	Scaffold	current	4369410	62	SAMN33940650	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808335.1	Bacillus paralicheniformis	Scaffold	current	4385801	77	SAMN33940651	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808355.1	Bacillus paralicheniformis	Scaffold	current	4374010	62	SAMN33940649	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808375.1	Bacillus paralicheniformis	Scaffold	current	4365904	143	SAMN33940648	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808395.1	Bacillus paralicheniformis	Scaffold	current	4385913	68	SAMN33940647	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808415.1	Bacillus paralicheniformis	Scaffold	current	4463259	81	SAMN33940646	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808435.1	Bacillus paralicheniformis	Scaffold	current	4458037	92	SAMN33940645	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808455.1	Bacillus paralicheniformis	Scaffold	current	4478682	78	SAMN33940644	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808475.1	Bacillus paralicheniformis	Scaffold	current	4463014	79	SAMN33940643	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808515.1	Bacillus paralicheniformis	Scaffold	current	4460604	92	SAMN33940641	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808535.1	Bacillus paralicheniformis	Scaffold	current	4461711	101	SAMN33940639	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808555.1	Bacillus paralicheniformis	Scaffold	current	4469210	70	SAMN33940638	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808575.1	Bacillus paralicheniformis	Scaffold	current	4453123	121	SAMN33940637	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808595.1	Bacillus paralicheniformis	Scaffold	current	4457105	87	SAMN33940640	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808635.1	Bacillus paralicheniformis	Scaffold	current	4466499	100	SAMN33940633	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808655.1	Bacillus paralicheniformis	Scaffold	current	4467782	101	SAMN33940632	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808665.1	Bacillus paralicheniformis	Scaffold	current	4464816	103	SAMN33940635	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808695.1	Bacillus paralicheniformis	Scaffold	current	4381392	64	SAMN33940634	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808715.1	Bacillus paralicheniformis	Scaffold	current	4467280	96	SAMN33940631	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808735.1	Bacillus paralicheniformis	Scaffold	current	4395234	76	SAMN33940628	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808775.1	Bacillus paralicheniformis	Scaffold	current	4467671	81	SAMN33940630	soil	USA		non_saline_candidate		Bacillus paralicheniformis
GCF_035808795.1	Bacillus paralicheniformis	Scaffold	current	4469870	79	SAMN33940629	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808815.1	Bacillus paralicheniformis	Scaffold	current	4480167	128	SAMN33940626	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808835.1	Bacillus paralicheniformis	Scaffold	current	4476260	97	SAMN33940625	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808855.1	Bacillus paralicheniformis	Scaffold	current	4478084	93	SAMN33940624	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808875.1	Bacillus paralicheniformis	Scaffold	current	4480085	84	SAMN33940623	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808895.1	Bacillus paralicheniformis	Scaffold	current	4488451	73	SAMN33940622	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808915.1	Bacillus paralicheniformis	Scaffold	current	4435126	161	SAMN33940621	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_035808935.1	Bacillus paralicheniformis	Scaffold	current	4459107	92	SAMN33940620	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_036009925.1	Bacillus paralicheniformis	Scaffold	current	4412750	72	SAMN33940619	soil	Antarctica		non_saline_candidate		Bacillus paralicheniformis
GCF_036210205.1	Bacillus paralicheniformis	Scaffold	current	4302128	39	SAMN32927365	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210285.1	Bacillus paralicheniformis	Scaffold	current	4313836	40	SAMN32927364	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210305.1	Bacillus paralicheniformis	Scaffold	current	4327416	28	SAMN32927360	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210345.1	Bacillus paralicheniformis	Scaffold	current	4376078	37	SAMN32927363	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210355.1	Bacillus paralicheniformis	Scaffold	current	4399718	39	SAMN32927359	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210385.1	Bacillus paralicheniformis	Scaffold	current	4337664	36	SAMN32927358	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210405.1	Bacillus paralicheniformis	Scaffold	current	4389508	42	SAMN32927357	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210425.1	Bacillus paralicheniformis	Scaffold	current	4319783	34	SAMN32927355	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210465.1	Bacillus paralicheniformis	Scaffold	current	4288210	32	SAMN32927354	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus paralicheniformis
GCF_036210505.1	Bacillus paralicheniformis	Scaffold	current	4486060	86	SAMN32927351	soil	Antarctica: Brown Bluff Island		non_saline_candidate		Bacillus paralicheniformis
GCF_036210515.1	Bacillus paralicheniformis	Scaffold	current	4392422	89	SAMN32927350	soil	Antarctica: Brown Bluff Island		non_saline_candidate		Bacillus paralicheniformis
GCF_036210525.1	Bacillus paralicheniformis	Scaffold	current	4422866	93	SAMN32927349	soil	Antarctica: Paulet Island		non_saline_candidate		Bacillus paralicheniformis
GCF_040965915.1	Bacillus paralicheniformis	Scaffold	current	4468621	20	SAMN42801616	roots	Russia: Rostov region	Oryza sativa L.	non_saline_candidate		Bacillus paralicheniformis
GCF_044498105.1	Bacillus paralicheniformis	Chromosome	current	4376831	103	SAMN44485018	Olive rhizosphere	Morocco		non_saline_candidate		Bacillus paralicheniformis
GCF_051225695.1	Bacillus paralicheniformis	Scaffold	current	4291478	102	SAMN49650144	soil	Algeria		non_saline_candidate		Bacillus paralicheniformis
GCF_051941075.1	Bacillus paralicheniformis	Complete Genome	current	4410549	1	SAMN50433766	soil and rock	Viet Nam: Quang Ninh		non_saline_candidate		Bacillus paralicheniformis
GCF_001578205.1	Bacillus pumilus	Complete Genome	current	3878815	2	SAMN03372270	sugar beet rhizosphere	Netherlands: Wageningen		non_saline_candidate		Bacillus pumilus
GCF_002998335.1	Bacillus pumilus	Scaffold	current	3766320	22	SAMN08634680	Turnip soil	China: Tibet, Nyingchi		non_saline_candidate		Bacillus pumilus
GCF_002998365.1	Bacillus pumilus	Scaffold	current	3697756	23	SAMN08634668	beet roots	China: Tibet, Nyingchi		non_saline_candidate		Bacillus pumilus
GCF_002998415.1	Bacillus pumilus	Scaffold	current	3770927	16	SAMN08634856	soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus pumilus
GCF_002998475.1	Bacillus pumilus	Scaffold	current	3798185	23	SAMN08634709	soil	China: Tibet, Lhasa		non_saline_candidate		Bacillus pumilus
GCF_003034105.1	Bacillus pumilus	Scaffold	current	3684250	31	SAMN06285022	Citrus rhizosphere	USA: Florida, Fort Pierce		non_saline_candidate		Bacillus pumilus
GCF_004006455.1	Bacillus pumilus	Complete Genome	current	3640542	1	SAMN09215342		China	soil	non_saline_candidate		Bacillus pumilus
GCF_009937765.1	Bacillus pumilus	Chromosome	current	3774709	1	SAMN13526181	soil	Pakistan: Karak		non_saline_candidate		Bacillus pumilus
GCF_002998315.1	Bacillus safensis	Scaffold	current	3730128	14	SAMN08634633	pea roots	China: Tibet, Nyingchi		non_saline_candidate		Bacillus safensis
GCF_012972765.1	Bacillus safensis	Scaffold	current	3860391	47	SAMN14613776	soil	Brazil: Pocon Pantanal		non_saline_candidate		Bacillus safensis
GCF_020535425.1	Bacillus pumilus	Complete Genome	current	3821535	2	SAMN14228080	sod-podzolic soil	Belarus		non_saline_candidate		Bacillus pumilus
GCF_020908045.1	Bacillus pumilus	Scaffold	current	3667574	41	SAMN16976349		China	seed of leguminous plant	non_saline_candidate		Bacillus pumilus
GCF_021398835.1	Bacillus safensis	Complete Genome	current	3745092	1	SAMN24429176	soil	South Korea		non_saline_candidate		Bacillus safensis
GCF_022758335.1	Bacillus pumilus	Scaffold	current	3640519	18	SAMN26871133	plant root	Pakistan: Lahore		non_saline_candidate		Bacillus pumilus
GCF_023093895.1	Bacillus safensis	Complete Genome	current	3735476	1	SAMN27578315	soil	China: Nanjing		non_saline_candidate		Bacillus safensis
GCF_023195455.1	Bacillus safensis	Scaffold	current	3747727	21	SAMN27670919	black pine root	China		non_saline_candidate		Bacillus safensis
GCF_024498355.1	Bacillus pumilus	Complete Genome	current	3736781	2	SAMN29933354	soil	China:Inner Mongolia		non_saline_candidate		Bacillus pumilus
